Id No.,Name,URL,Trail Length,Length,Units,Groomed,Lit,Snowmaking,Notes,City,State/Province,lat,lon,lat/lon,Google-address,Google Maps URL,Secondary URL,Source
1160,Cooking Lake-Blackfoot Prov. Rec. Area,http://www.canadatrails.ca/xc_ski/ab/ab44.html,85 KM,85,KM,unknown,N/A,N/A,Trails: Cooking Lake-Blackfoot Provincial Recreation Area offers 65 km of trails that are groomed for cross-country skiing including 32 km for skating. There are also 35 km of backcountry trails. Cooking Lake-Blackfoot PRA is the site of the annual Canadian Birkebeiner in February.Trails connect four staging areas: Waskehegan Blackfoot Islet and Central. Blackfoot trails are mainly groomed for skating technique. See the Edmonton Nordic Ski Guide for more description.,Sherwood Park,Alberta,53.5092,-112.951,"53.5092,-112.951","Cooking Lake-Blackfoot Prov. Rec. Area, Sherwood Park AB",,,http://www.canadatrails.ca
1159,Elk Island National Park,http://www.canadatrails.ca/xc_ski/ab/ab45.html,100 KM,100,KM,unknown,N/A,N/A,Trails: Elk Island National Park has 100 km of trails at various locations throughout the park some of which are groomed for cross-country skiing.Family Ski Day is held on the third Saturday in February.,Fort Saskatchewan,Alberta,53.60762,-112.862,"53.60762,-112.862","Elk Island National Park, Fort Saskatchewan AB",,,http://www.canadatrails.ca
1158,Miquelon Lake Prov. Park,http://www.canadatrails.ca/xc_ski/ab/ab46.html,18 KM,18,KM,unknown,N/A,N/A,Trails: Miquelon Lake Provincial Park has 18 km of trail that are available for cross-country skiing and snowshoeing.,Camrose,Alberta,53.23623,-112.907,"53.23623,-112.907","Miquelon Lake Prov. Park, Camrose AB",,,http://www.canadatrails.ca
1157,Camrose Ski Club,http://www.canadatrails.ca/xc_ski/ab/ab47.html,30 KM,30,KM,unknown,N/A,N/A,Trails: The Camrose Nordic Centre has 30 km of trail that are groomed for cross-country skiing by the Camrose Ski Club at the nordic centre and Camrose Golf Course. Two trails totalling 3.5 km are lighted for night skiing. The centre is the site of the annual Ole Uffda Loppet.,Camrose,Alberta,53.00476,-112.83,"53.00476,-112.83","Camrose Ski Club, Camrose AB",,,http://www.canadatrails.ca
1156,Vermilion Provincial Park,http://www.canadatrails.ca/xc_ski/ab/ab48.html,15 KM,15,KM,unknown,N/A,N/A,Trails: Vermilion Provincial Park offers 20 km of trails that are groomed for cross-country skiing by the Vermilion Nordic Ski Club. The trails were the original training grounds of Olympic gold-medalist Beckie Scott and now host the Beckie Scott Loppet.,Vermilion,Alberta,53.3616,-110.875,"53.3616,-110.875","Vermilion Provincial Park, Vermilion AB",,,http://www.canadatrails.ca
1155,Whitney Lakes Prov. Park,http://www.canadatrails.ca/xc_ski/ab/ab49.html,9 KM,9,KM,unknown,N/A,N/A,Trails: Whitney Lakes Provincial Park has 21 km of trails that are groomed for cross-country skiing and 7 km of ungroomed trails.,Elk Point,Alberta,53.82811,-110.549,"53.82811,-110.549","Whitney Lakes Prov. Park, Elk Point AB",,,http://www.canadatrails.ca
1154,Cypress Hills Provincial Park,http://www.canadatrails.ca/xc_ski/ab/ab5.html,14 KM,14,KM,unknown,N/A,N/A,Trails: Cypress Hills Provincial Park has 14 km of trails they are groomed for cross-country skiing plus there are also some backcountry trails. There are two separate trail systems each with about 7 km of trails: Spring Creek and Spruce Coulee. Spring Creek trails are rated Easy Spruce Coulee are intermediate to expert.,Elkwater,Alberta,49.66204,-110.281,"49.66204,-110.281","Cypress Hills Provincial Park, Elkwater AB",,,http://www.canadatrails.ca
1153,Cold Lake Provincial Park,http://www.canadatrails.ca/xc_ski/ab/ab50.html,13 KM,13,KM,unknown,N/A,N/A,Trails: Cold Lake Provincial Park's 13 km of trail are groomed for cross-country skiing.,Cold Lake,Alberta,54.47457,-110.199,"54.47457,-110.199","Cold Lake Provincial Park, Cold Lake AB",,,http://www.canadatrails.ca
1152,Moose Lake Prov. Park,http://www.canadatrails.ca/xc_ski/ab/ab51.html,10 KM,10,KM,unknown,N/A,N/A,Trails: The park is no longer open in winter.,Bonnyville,Alberta,54.27118,-110.918,"54.27118,-110.918","Moose Lake Prov. Park, Bonnyville AB",,,http://www.canadatrails.ca
1151,Shaw Lake Ski Trails,http://www.canadatrails.ca/xc_ski/ab/ab52.html,26 KM,26,KM,unknown,N/A,N/A,Trails: Lakeland Provincial Recreation Area offers 26 km of trail at Shaw Lake that are groomed for cross-country skiing. There are several loops including one trail of more than 20 km in length around the perimeter of Shaw Lake. The Shaw Lake trails are the site of the annual Lac La Loppet.,Lac La Biche,Alberta,54.7633,-111.635,"54.7633,-111.635","Shaw Lake Ski Trails, Lac La Biche AB",,,http://www.canadatrails.ca
