Name,GEOID,totalPp,landAre,density,collgRt,uaType,lsadTyp,nps_tr_,fs_trl_,ttl_trl,Start,Nordic1,Coords1,Nordic2,Coords2,Nordic3,Coords3,nrdc1_t,nrdc2_t,nrdc3_t
"Belfast, ME",6355,3139,2.64,1187,22%,C,76,0,0,0,"-69.0053953742312, 44.4240463430816",Quarry Road,"-69.6579825, 44.5828526",Fort Kent,"-68.5879368, 47.2338001",Nordic Heritage Center,"-67.9510786, 46.7089019",70.05,271.25,271.25
"Portola, CA",71398,3131,1.45,2165,9%,C,76,0,9,9,"-120.475597477737, 39.8106064383839",Royal Gorge,"-120.3891698, 39.3133934",Tahoe Donner,"-120.2534233, 39.3633936",Tahoe,"-120.1061923, 39.1972293",87.96666667,71.45,71.45
"Kellogg, ID",44263,3131,1.98,1584,8%,C,76,0,12,12,"-116.130982737959, 47.5376635643061",Jug Mountain,"-116.0479775, 44.8329387",Mountain Gear,"-117.3226638, 47.678368",49 Degrees,"-117.5629318, 48.3011041",373.3166667,71.05,71.05
"Mora, MN",59113,3123,2.45,1274,16%,C,76,0,0,0,"-93.2950360729702, 45.8671702916166",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",87.51666667,940.75,940.75
"Norwood Young America, MN",64189,3117,1.84,1695,11%,C,76,0,0,0,"-93.9186417513714, 44.7735749949177",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",55.05,850.9333333,850.9333333
"Pine City, MN",69481,3103,1.86,1672,4%,C,76,0,0,0,"-92.9667480644909, 45.8282499041939",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",72.8,918.05,918.05
"Waterbury, VT",92512,3102,2.96,1046,27%,C,76,0,8,8,"-72.7362509269959, 44.348929070998",Trapp Family Lodge,"-72.7451723, 44.4654613",Edson Hill,"-72.734681, 44.5109926",Stowe,"-72.78135, 44.530887",20.13333333,30.4,30.4
"Angels, CA",2494,3101,2.66,1164,9%,C,76,2,8,10,"-120.552220514526, 38.0742384909501",Bear Valley,"-120.0422834, 38.461523",Kirkwood XC,"-120.0722442, 38.7023082",Royal Gorge,"-120.3891698, 39.3133934",71.23333333,131.9833333,131.9833333
"Ticonderoga, NY",87571,3096,1.88,1647,13%,C,76,0,10,10,"-73.4294277615707, 43.8454326304931",Pineridge,"-73.4677841, 42.6909853",Catamount,"-73.048714, 44.447395",Sleepy Hollow,"-73.029276, 44.352089",147.3166667,95.05,95.05
"Bloomer, WI",8299,3089,1.97,1570,17%,C,76,0,0,0,"-91.4932517670994, 45.1027354278103",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",115.3333333,951.6833333,951.6833333
"Swanton, VT",86059,3005,1.65,1818,5%,C,76,0,5,5,"-73.1137931443242, 44.9202175977176",Catamount,"-73.048714, 44.447395",Sleepy Hollow,"-73.029276, 44.352089",Rikert,"-72.991087, 43.954787",53.18333333,63.81666667,63.81666667
"Lyndonville, VT",52255,3004,2.19,1373,12%,C,76,0,15,15,"-72.0062558046311, 44.5326522396316",Kingdom Trails,"-71.9721384, 44.5729609",Memphremagog,"-72.1832202, 44.9606155",Eastman,"-72.1200467, 43.4982771",8.55,41.71666667,41.71666667
"Barron, WI",5248,2969,1.91,1551,7%,C,76,0,0,0,"-91.852865939319, 45.4015783168293",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",116.2,957.9166667,957.9166667
"Mount Hood Village, OR",59923,2940,4.26,690,18%,C,76,0,81,81,"-122.00273794908, 45.3610560695668",Teacup Nordic,"-121.6422905, 45.3136991",Mt Bachelor,"-121.405239, 43.9971703",Stevens Pass,"-121.0902877, 47.7451493",34.56666667,165.15,165.15
"Amery, WI",2035,2938,2.06,1424,10%,C,76,0,0,0,"-92.3636201718821, 45.3069435883462",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",79.45,919.0666667,919.0666667
"Sodus, NY",82792,2935,2.32,1263,7%,C,76,0,1,1,"-77.0479605128329, 43.2289249944119",Osceola Ski and Sport,"-75.7016595, 43.5060069",Parc de la Gatineau,"-75.7724649, 45.4612618",Osceola,"-75.5978854, 43.4627838",117.1166667,265.95,265.95
"Windsor, VT--NH",96292,2929,2.70,1085,9%,C,76,0,12,12,"-72.3990619156565, 43.4592458940274",Woodstock,"-72.518896, 43.623174",Grafton,"-72.6146009, 43.162418",Northfield Mountain,"-72.471313, 42.610827",32.73333333,48.9,48.9
"Nine Mile Falls, WA",63271,2907,4.36,667,23%,C,76,0,8,8,"-117.594817816954, 47.8186931556077",49 Degrees,"-117.5629318, 48.3011041",Mountain Gear,"-117.3226638, 47.678368",SilverStar,"-119.0588591, 50.3597927",62.68333333,51.05,51.05
"Burney, CA",11836,2895,2.06,1405,16%,C,76,17,1,18,"-121.65119891678, 40.891231293978",Mt Shasta,"-122.181241, 41.317558",Royal Gorge,"-120.3891698, 39.3133934",Tahoe Donner,"-120.2534233, 39.3633936",74.61666667,234.5333333,234.5333333
"Skaneateles, NY",82333,2894,2.81,1030,30%,C,76,0,1,1,"-76.4277720259953, 42.9504671017617",Osceola Ski and Sport,"-75.7016595, 43.5060069",Osceola,"-75.5978854, 43.4627838",Parc de la Gatineau,"-75.7724649, 45.4612618",94.56666667,102.5166667,102.5166667
"Deer Park, WA",22852,2884,1.93,1498,11%,C,76,0,14,14,"-117.468550411197, 47.9559019038123",49 Degrees,"-117.5629318, 48.3011041",Mountain Gear,"-117.3226638, 47.678368",SilverStar,"-119.0588591, 50.3597927",47.5,40.38333333,40.38333333
"Homedale, ID",39646,2846,1.10,2580,3%,C,76,0,7,7,"-116.933009566248, 43.6179431858829",Bogus Basin,"-116.2058992, 43.6433908",Jug Mountain,"-116.0479775, 44.8329387",Mountain Gear,"-117.3226638, 47.678368",57.86666667,169.2833333,169.2833333
"Zumbrota, MN",98236,2846,1.87,1520,11%,C,76,0,0,0,"-92.6708719826138, 44.2928707782002",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",80.2,839.45,839.45
"St. Maries, ID",77797,2830,1.32,2146,9%,C,76,0,4,4,"-116.574422096963, 47.316442355477",Mountain Gear,"-117.3226638, 47.678368",49 Degrees,"-117.5629318, 48.3011041",Jug Mountain,"-116.0479775, 44.8329387",90.66666667,165.8166667,165.8166667
"Montgomery, MN",58627,2816,1.20,2340,16%,C,76,0,0,0,"-93.5788917165484, 44.4413075086077",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",66.95,823.7166667,823.7166667
"St. Charles, MN",77284,2793,1.65,1694,15%,C,76,0,0,0,"-92.0617487170282, 43.9696607082048",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",125.05,826.95,826.95
"Rhinebeck, NY",74314,2761,2.00,1383,27%,C,76,11,0,11,"-73.906772727973, 41.9289569134614",Fahnestock,"-73.8246946, 41.4662118",Mohonk Mountain,"-74.1364747, 41.7776369",Mountain Trails,"-74.142554, 42.195406",63.68333333,57.06666667,57.06666667
"Cokato, MN",18505,2735,2.97,920,10%,C,76,0,0,0,"-94.2379377330143, 45.0795056837795",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",71.23333333,870.2,870.2
"St. Francis, MN",77392,2730,4.84,564,10%,C,76,0,0,0,"-93.3470167521706, 45.3676476268456",CIty Parks?,"-93.2650108, 44.977753",Eldora,"-105.5826786, 39.9372203",Devil's Thumb,"-105.7842685, 39.9663313",46.35,901.4,901.4
